DATE	WPU083
2017.58	202.1
2017.66	206.2
2017.75	218.7
2017.83	220.9
2017.92	218.1
2018	219.8
2018.08	227.9
2018.16	236.5
2018.25	236.6
2018.34	239.9
2018.42	243.1
2018.5	239.4
2018.58	230.5
2018.66	230.1
2018.75	229.0
2018.83	217.4
2018.92	212.5
2019	211.9
2019.08	212.8
2019.16	212.6
2019.25	213.1
2019.34	208.3
2019.42	203.9
2019.5	199.5
2019.58	194.7
2019.66	193.6
2019.75	194.6
2019.83	194.4
2019.92	194.9
2020	194.7
2020.08	196.4
2020.16	204.4
2020.25	202.0
2020.34	197.8
2020.42	210.7
2020.5	228.7
2020.58	254.3
2020.66	278.3
2020.75	269.9
2020.83	259.2
2020.92	254.8
2021	276.5
2021.08	296.8
2021.16	326.7
2021.25	370.8
2021.34	417.0
2021.42	471.3
2021.5	427.656
2021.58	327.418
2021.66	261.240
2021.75	272.670
2021.83	283.574
2021.92	291.020
2022	343.634
2022.08	371.006
2022.16	397.233
2022.25	370.020
2022.34	355.223
2022.42	346.795
2022.5	323.945
2022.58	321.463
2022.66	319.369
2022.75	311.089
2022.83	298.745
2022.92	293.742
2023	292.506
